gamma,seed,status,mode,theta_deg,steps,min_clearance_m,time_to_goal_s,mean_feasible_fraction
1.0,15,COLLISION,none,,38,-0.00748386936175055,,0.6847245065789473
1.0,16,COLLISION,none,,37,-0.01407797743677447,,0.6757284628378378
1.0,17,COLLISION,none,,36,-0.030125969275850872,,0.6944444444444444
1.0,18,COLLISION,none,,36,-0.019908204392808604,,0.6944444444444444
1.0,19,COLLISION,none,,36,-0.027924328738833992,,0.6944444444444444
1.0,20,COLLISION,none,,38,-0.02606699904806037,,0.6588712993421053
1.0,21,COLLISION,none,,37,-0.03278971821345045,,0.7027027027027027
1.0,22,COLLISION,none,,36,-0.03679852952355389,,0.6944444444444444
1.0,23,COLLISION,none,,36,-0.008651205058645917,,0.6944444444444444
1.0,24,COLLISION,none,,37,-0.01410556355725795,,0.7027027027027027
1.0,25,COLLISION,none,,36,-0.01834714517543745,,0.6944444444444444
1.0,26,COLLISION,none,,36,-0.017941318714257803,,0.6944444444444444
1.0,27,COLLISION,none,,38,-0.020010572070721155,,0.6406763980263158
1.0,28,COLLISION,none,,36,-0.022328509537312635,,0.6944444444444444
1.0,29,COLLISION,none,,37,-0.0029073513355536984,,0.6798986486486487
1.0,30,COLLISION,none,,36,-0.026388961000758215,,0.6700303819444444
1.0,31,COLLISION,none,,37,-0.007494836834032459,,0.6759923986486487
1.0,32,COLLISION,none,,38,-0.007657151768471648,,0.658203125
1.0,33,COLLISION,none,,36,-0.0292822576131892,,0.6944444444444444
1.0,34,COLLISION,none,,37,-0.011458668207261158,,0.6759396114864865
1.0,35,COLLISION,none,,36,-0.0174124911724034,,0.6944444444444444
1.0,36,COLLISION,none,,37,-0.015506746213678202,,0.7027027027027027
1.0,37,COLLISION,none,,37,-0.0139742439099379,,0.67578125
1.0,38,COLLISION,none,,36,-0.002604802405170692,,0.6775173611111112
1.0,39,COLLISION,none,,38,-0.006351477060535238,,0.6582545230263158
1.0,40,COLLISION,none,,37,-0.019695098572930336,,0.67578125
1.0,41,COLLISION,none,,36,-0.025092550562940352,,0.6742078993055556
1.0,42,COLLISION,none,,36,-0.040218181227125505,,0.6944444444444444
1.0,43,COLLISION,none,,36,-0.017128271587264543,,0.6770290798611112
1.0,44,COLLISION,none,,37,-0.027654988465882102,,0.6757284628378378
1.0,45,COLLISION,none,,37,-0.02968334111605725,,0.6757284628378378
1.0,46,COLLISION,none,,38,-0.016827686222900484,,0.6747532894736842
1.0,47,COLLISION,none,,37,-0.03386120428992467,,0.6951013513513513
1.0,48,SUCCESS,below,-105.84888531480095,77,0.01745943708206521,7.7,0.7113940746753247
1.0,49,COLLISION,none,,38,-0.0044850923179924895,,0.6579975328947368
1.0,50,COLLISION,none,,37,-0.02690378687828221,,0.6757284628378378
1.0,51,COLLISION,none,,36,-0.024294347343063127,,0.6909722222222222
1.0,52,COLLISION,none,,36,-0.024797172293002934,,0.6944444444444444
1.0,53,COLLISION,none,,37,-0.02416436916847592,,0.6766786317567568
1.0,54,COLLISION,none,,36,-0.04275654066548751,,0.6851671006944444
1.0,55,COLLISION,none,,36,-0.028390440140673157,,0.6944444444444444
1.0,56,COLLISION,none,,37,-0.017011058903921017,,0.6782094594594594
1.0,57,COLLISION,none,,37,-0.033247306878528005,,0.67578125
1.0,58,COLLISION,none,,36,-0.01232743027875477,,0.6944444444444444
1.0,59,COLLISION,none,,37,-0.018907695551971526,,0.6783678209459459
1.0,60,COLLISION,none,,36,-0.03710165486505229,,0.6944444444444444
1.0,61,COLLISION,none,,38,-0.00730374932893757,,0.6583573190789473
1.0,62,COLLISION,none,,39,-0.014542336096144637,,0.6423778044871795
1.0,63,COLLISION,none,,37,-0.005373919384315862,,0.6765202702702703
